,recipient_parent_name1,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year,recipient_name_clean,Cycle,Democrats,Individuals,PACs,Republicans,Soft_Indivs,Soft_Orgs,Total,Total1,org_id,org_name,org_name_clean,DemShare,RepShare
63,FLOWERSFOODSINC,15615099.18,667347700.3,133,2700.112213,226182233.8,1,FLOWERS FOODS  INC.,,OTHER THAN SMALL BUSINESS,2008,flowers foods,2008,0,68800,245000,313800,0,0,313800,313800,D000000377,FLOWERS FOODS,flowers foods,0.0,1.0
64,FLUORCORPORATION,836407234.5,20836407235.0,7557,1989.8264600000002,4446970.205,1,FLUOR CORPORATION,,OTHER THAN SMALL BUSINESS,2008,fluor,2008,261066,115993,467245,326172,0,5000,587238,587238,D000000277,FLUOR CORP,fluor,0.44456591705577636,0.5554340829442236
65,G4SPLC,496949029.3,206144359.5,438,10272.68616,456503385.2,1,G4S PLC,,OTHER THAN SMALL BUSINESS,2008,g4s,2008,6750,6250,14750,14250,0,0,21000,21000,D000026342,G4S PLC,g4s,0.32142857142857145,0.6785714285714286
66,GENCORPINC,10450083.0,10450083.0,4,3087.0,675000000.0,1,GENCORP INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,gencorp,2008,59950,18500,96150,54700,0,0,114650,114650,D000026174,GENCORP INC,gencorp,0.522895769733973,0.47710423026602705
67,GENERALDYNAMICSCORPORATION,8137704270.0,16700006659.0,9712,40114.20676,11062870714.0,1,GENERAL DYNAMICS CORPORATION,,OTHER THAN SMALL BUSINESS,2008,general dynamics,2008,1173500,606957,1474300,906007,0,0,2079507,2079507,D000000165,GENERAL DYNAMICS,general dynamics,0.5643164461576711,0.435683553842329
68,GENERALELECTRICCOMPANY,43749839.86,44627001.86,543,12610455.39,70358556081.0,1,GENERAL ELECTRIC COMPANY,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,general electric,2008,2670029,2099602,2057050,1484161,0,0,4154190,4154190,D000000125,GENERAL ELECTRIC,general electric,0.6427315553693981,0.35726844463060187
69,GENERALMILLSINC,200017932.4,286882472.8,18,2916.666667,0.0,1,GENERAL MILLS  INC.,,OTHER THAN SMALL BUSINESS,2008,general mills,2008,215017,188532,230000,203515,0,0,418532,418532,D000000467,GENERAL MILLS,general mills,0.5137408848068965,0.4862591151931035
70,GENTEXCORPORATION,111234.53,1360132.53,50,801.0763889,75329116.06,1,GENTEX CORPORATION,,OTHER THAN SMALL BUSINESS,2008,gentex,2008,19000,3000,37700,21700,0,0,40700,40700,D000068698,GENTEX,gentex,0.4668304668304668,0.5331695331695332
71,GLAXOSMITHKLINEPLC,125083055.8,12536886064.0,81,70015.26818,13967269822.0,1,GLAXOSMITHKLINE PLC,,OTHER THAN SMALL BUSINESS,2008,glaxosmithkline,2008,679097,275373,1443420,1048696,0,0,1727793,1727793,D000000133,GLAXOSMITHKLINE,glaxosmithkline,0.39304303235399146,0.6069569676460085
72,GREATLAKESDREDGEDOCKCORPORATION,23746866.35,23746866.35,5,900.0,397108992.0,1,GREAT LAKES DREDGE & DOCK CORPORATION,OTHER,OTHER THAN SMALL BUSINESS,2008,great lakes dredge dock,2008,15250,5200,23350,13300,0,0,28550,28550,D000026295,GREAT LAKES DREDGE & DOCK,great lakes dredge dock,0.5341506129597198,0.4658493870402802
73,GROUPWINC,29073148.63,29073150.79,16,9.666666667000001,0.0,1,GROUP W INC.,,OTHER THAN SMALL BUSINESS,2008,w,2008,5000,500,5500,1000,0,0,6000,6000,D000026344,GROUP W INC,w,0.8333333333333334,0.16666666666666666
74,HARRISCORPORATION,2581465845.0,6153156649.0,1151,2018.266522,410730081.6,1,HARRIS CORPORATION,,OTHER THAN SMALL BUSINESS,2008,harris,2008,197995,94106,375500,268656,0,0,466651,466651,D000000395,HARRIS CORP,harris,0.42428924399604845,0.5757107560039516
75,HDRINC,12883313162.0,23817655292.0,1354,3769.0225270000005,568603311.3,1,H.D.R. INC.,CORPORATE NOT TAX EXEMPT,SMALL BUSINESS,2008,hdr,2008,140611,52050,219411,130850,0,0,271461,271461,D000022021,HDR INC,hdr,0.5179786414991472,0.4820213585008528
76,HERSHEYCOMPANY,30636699.59,116052619.5,18,1862.5,0.0,1,HERSHEY COMPANY,,OTHER THAN SMALL BUSINESS,2008,hershey,2008,10450,1200,19250,10000,0,0,20450,20450,D000026470,HERSHEY CO,hershey,0.511002444987775,0.4889975550122249
