,t1,t2,score
32421878,gpa technologies,icx technologies,0.1875
5040749,rls construction,hm construction,0.1875
31464182,zel technologies,icx technologies,0.1875
8700909,dfs construction,hm construction,0.1875
30546406,s d technologies,ca technologies,0.1875
22777593,arm consulting,clark consulting,0.1875
22342777,avar consulting,clark consulting,0.1875
31462302,zel technologies,fmc technologies,0.1875
30545014,s d technologies,icx technologies,0.1875
26587919,thor solutions,trover solutions,0.1875
30543134,s d technologies,fmc technologies,0.1875
1997158,hms technologies,ca technologies,0.1875
8725278,cnf technologies,fmc technologies,0.1875
32423364,gpa technologies,bwx technologies,0.1875
1995766,hms technologies,icx technologies,0.1875
4589421,347 construction,hm construction,0.1875
13602864,hana industries,giant industries,0.1875
37706989,acc construction,hm construction,0.1875
1997252,hms technologies,bwx technologies,0.1875
26192836,lm technologies,bwx technologies,0.1875
14040004,sj technologies,bwx technologies,0.1875
23715821,b k construction,hm construction,0.1875
21136798,cgh technologies,fmc technologies,0.1875
21684845,glr construction,hm construction,0.1875
24717549,tdr construction,hm construction,0.1875
32125933,dsb construction,hm construction,0.1875
9358238,seb technologies,fmc technologies,0.1875
18738934,mei technologies,icx technologies,0.1875
17133037,cpp construction,hm construction,0.1875
31465668,zel technologies,bwx technologies,0.1875
23894302,c2 technologies,fmc technologies,0.1875
31465574,zel technologies,ca technologies,0.1875
18580589,cwr construction,hm construction,0.1875
28157549,gsc construction,hm construction,0.1875
13514961,pepco energy services,key energy services,0.19047619047619047
31021880,sysnet technologies,sensient technologies,0.19047619047619047
33697104,leader communications,nextel communications,0.19047619047619047
3490872,censis technologies,sensient technologies,0.19047619047619047
34623019,reyes construction,reynolds construction,0.19047619047619047
19437336,walker power systems,ballard power systems,0.19047619047619047
20432436,nuance communications,nuvox communications,0.19047619047619047
3932861,pci communications,sprint communications,0.19047619047619047
10629560,keysight technologies,sensient technologies,0.19047619047619047
2423096,syneren technologies,sensient technologies,0.19047619047619047
33048039,nodak electric cooperative,kamo electric cooperative,0.19230769230769232
9613638,global asset technologies,global relief technologies,0.19230769230769232
33047817,nodak electric cooperative,aiken electric cooperative,0.19230769230769232
